Unnamed: 0,번호,제목,저자,출판사,출판일
,30,Donors to the Art Museums,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",2006
,31,"[Report of the William Hayes Fogg Art Museum, 1965-66]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1965
,32,"[Report of the William Hayes Fogg Art Museum, 1964-65]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1964
,33,"[Report of the William Hayes Fogg Art Museum, 1963-64]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1963
,34,"[Report of the William Hayes Fogg Art Museum, 1962-63]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1962
,35,"[Report of the William Hayes Fogg Art Museum, 1969-70]","MONGAN, A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1969
,36,"[Report of the William Hayes Fogg Art Museum, 1970-71]","MONGAN, A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1970
,37,Works by Barlach and Kolbe in the Germanic Museum,"CHARLES, L. K.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1933
,38,A Minoan Bronze Statuette at the Fogg Art Museum,"MITTEN, D. G.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1974
,39,The Republic of the Sudan Ministry of Environment and Tourism National Corporation for Antiquities and Museums,"Idriss, H. H.",Published for the Trustees of the British Museum by British Museum Press,1999
,40,Some Notes on the Drawings in the Fogg Museum,"MONGAN, A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1938
,41,Ancient Peruvian Art on Loan at the Fogg Art Museum,"MEANS, P. A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1936
,42,"[Report of the William Hayes Fogg Art Museum, 1961-62]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1961
,43,The Fogg Art Museum,"FORBES, E. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1936
,44,A Fresco for the Museum,"GILMAN, R.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1935
,45,Etruscan Art in the Fogg Museum,"TANNER, D. B.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1933
,46,Indian Sculptures from Rajasthan in the Fogg Museum,"MEISTER, M. W.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1976
,47,The Collection of Spanish Photographs in the Fogg Museum,"RUTH, S. M.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1935
,48,"[Report of the William Hayes Fogg Art Museum, 1960-61]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1959
,49,"[Report of the William Hayes Fogg Art Museum, 1966-67]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1966
,50,A Roman Panther Handle in the Fogg Art Museum,"WINIFRED, F.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1966
,51,"[Report of the William Hayes Fogg Art Museum, 1952-53]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1952
,52,Harvard University Art Museums Staff 2000-2001,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",2000
,53,"[Report of the William Hayes Fogg Art Museum, 1959-60]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1959
,54,Harvard University Art Museums Staff 2001-2002,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",2001
,55,Harvard University Art Museums Staff 2002-2003,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",2002
,56,Donors to the Art Museums,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",2004
,57,Four Fayum Portraits in the Fogg Art Museum,"TANNER, D. B.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1932
,58,Harvard University Art Museums Staff 1999-2000,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1999
,59,Harvard University Art Museums Staff 1998-99,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1998
,60,In the Germanic Museum,"KUHN, C. L.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1932
,61,Harvard University Art Museums Staff 1997-98,unknown,"[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1997
,62,"[Report of the William Hayes Fogg Art Museum, 1955-56]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1955
,63,"Five Allegorical Figures: An Italian Painting in the Fogg Museum, and the Problems Concerning Its Date","PINTO, J. A.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1968
,64,A Corinthian Krater in the Fogg Art Museum,"MITTEN, D. G. ; SUZANNAH, F. D.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1968
,65,"[Report of the William Hayes Fogg Art Museum, 1954-55]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1954
,66,"[Report of the William Hayes Fogg Art Museum, 1953-54]","COOLIDGE, J.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1953
,67,Cafe society Museum catering is about more than feeding visitors and making money,"Birkett, D.",MUSEUMS ASSOC,2006
,68,Yasmin Alibhai-Brown asks if it is ever right for museums to censor artists' work,unknown,MUSEUMS ASSOC,2006
,69,Independence day: Maggie Appleton tells Simon Stephens why Luton's museums have benefited from leaving local authority control,unknown,MUSEUMS ASSOC,2010
,70,Sheffield staff take pay cut: Museums Sheffield staff opt for pay cuts rather than job losses,"Steel, P.",MUSEUMS ASSOC,2010
,71,Priced out Can museums and galleries keep collecting contemporary art?,"Harris, G.",MUSEUMS ASSOC,2014
,72,The global village - Can museums bring issues that affect the whole world to a local audience?,unknown,MUSEUMS ASSOC,2005
,73,"Museum Storage: Out of Sight, Out of Mind?","Miller, S. H.",AMERICAN ASSOCIATION OF MUSEUMS,2006
,74,The late show How late-night opening and special events have brought new audiences to museums in Europe,unknown,MUSEUMS ASSOC,2006
,75,Council votes to close the Manor House Museum in Bury St Edmunds despite protests,unknown,MUSEUMS ASSOC,2006
,76,Museums can make ideal film locations but what's in it for the venue,"Fisher, D.",MUSEUMS ASSOC,2005
,77,Conflicting views Conflict resolution and museums,"Crooke, E.",MUSEUMS ASSOC,2002
,78,"National Videogame Museum, Sheffield",unknown,MUSEUMS ASSOC,2019
,79,Alissandra Cummins' plans for museums in Barbados and the rest of the world,unknown,MUSEUMS ASSOC,2005
,80,Science Museums and the Arts of Imaginative Thinking,"Robert; Root-Bernstein, M.",MUSEUM EDUCATION ROUNDTABLE,2005
,81,"International Simon Stephens on the redevelopment of the Olympic Museum in Lausanne, Switzerland",unknown,MUSEUMS ASSOC,2014
,82,New gift aid guidelines mean museums will lose revenue,unknown,MUSEUMS ASSOC,2005
,83,Rich seams How are museums reflecting the legacy of the 1984-85 miners' strike?,"Stephens, S.",MUSEUMS ASSOC,2014
,84,Beginning with Change Resources for Building Diversity in Museums,"Turner, T.",MUSEUM EDUCATION ROUNDTABLE,2009
,85,"National Glass Centre, Sunderland This redisplayed museum offers an engaging take on local industry","Stones, M.",MUSEUMS ASSOC,2014
,86,"Righting wrongs: Museums have taken big strides forward in restitution cases, but there is still room for improvement","Gilling, J.",MUSEUMS ASSOC,2010
,87,Museum marketing as a tool for survival and creativity: the mining museum perspective,"Cole, D.",Taylor & Francis,2008
,88,Caroline Worthington visits the California museum that collects the cold war,unknown,MUSEUMS ASSOC,2005
,89,Museum Storage is Not an Icebox: Re-examining Textile Storage at the RISD Museum,"Brewer, Laurie Anne; Fincher, Tayana; Irvin, Kate; Keefe, Anna Rose; Urick, Jessica",Wiley-Blackwell,2021
,90,Death by Ethics Would the ethical museum close its doors before it used its collection as collateral?,"Gold, M. S.",AMERICAN ASSOCIATION OF MUSEUMS,2005
,91,Take your partners Collaboration is now seen as vital as museums try to make limited resources go further Simon Stephens investigates,unknown,MUSEUMS ASSOC,2014
,92,"Collective Observations Towner, Eastbourne Simon Stephens applauds a show that paves the way for a new folklore museum",unknown,MUSEUMS ASSOC,2012
,93,"Charles Eastlake, Plymouth City Museum and Art Gallery A well executed show on one of the founding fathers of public galleries","Mason, P.",MUSEUMS ASSOC,2012
,94,"David Livingstone Birthplace Museum, Blantyre","Harland, Lucy",MUSEUMS ASSOC,2021
,95,Budget cuts at DCMS could be passed on to museums and client groups,"Thorpe, C.",MUSEUMS ASSOC,2004
,96,"Micro matters Fiona Candlin on why preserving local history is no small matter, as she reflects on her journey around the UK as part of the Mapping Museums project",unknown,MUSEUMS ASSOC,2021
,97,"Lighthouses: Life on the Rocks, National Maritime Museum Cornwall","Stephens, S.",MUSEUMS ASSOC,2010
,98,Simon Stephens hears how Lars Tharp's passion for ceramics led to him becoming the director of the Foundling Museum,unknown,MUSEUMS ASSOC,2010
,99,Ship disposal could sink museum,"Noakes, G.",MUSEUMS ASSOC,2010
,100,Nazi-Era Provenance Internet Portal A New Tool for Museums and Researchers,"Ledbetter, E.",AMERICAN ASSOCIATION OF MUSEUMS,2003
,1,Civic Engagement in a Digital Age An Even Greater Challenge to Museums,"Steinbach, L.",AMERICAN ASSOCIATION OF MUSEUMS,2003
,2,"Brief encounters Geraldine Kendall explores how museums can work more effectively with designers, contractors and architects",unknown,MUSEUMS ASSOC,2014
,3,"Simon Stephens goes to Newcastle upon Tyne to find out what challenges Iain Watson, the director of Tyne &amp; Wear Archives and Museums faces",unknown,MUSEUMS ASSOC,2011
,4,AT HOME AND ABROAD: Reflections on Collaborative Museum Ethnography at the Mathers Museum of World Cultures,"Jackson, Jason Baird",John Wiley & Sons Ltd,2019
,5,"Postal Museum, London Oliver Green looks back to a bygone era and takes a ride on the much-anticipated Mail Rail",unknown,MUSEUMS ASSOC,2017
,6,Through the looking glass Melbourne's new museum,unknown,MUSEUMS ASSOC,2002
,7,Feel good factor The second article about a research project into the potential of museums to combat social exclusion,unknown,MUSEUMS ASSOC,2002
,8,The trials of life Martin Ison asks if museums can help young people become good citizens,unknown,MUSEUMS ASSOC,2002
,9,Flower of Scotland Sharon McCord reports on an ambitious project to revamp Kelvingrove Museum,unknown,MUSEUMS ASSOC,2002
,10,"Surgical spirit Julie Nightingale examines how medical museums are moving away from conventional, clinical displays",unknown,MUSEUMS ASSOC,2015
,11,The Culture of Globalization Can museums offer a new vision of globalized society?,"Muller, K.",AMERICAN ASSOCIATION OF MUSEUMS,2003
,12,A single-minded attitude What's next for the area museum councils?,unknown,MUSEUMS ASSOC,2002
,13,"Cosmonauts: Birth of the Space Age, Science Museum, London Oliver Green learns about the astonishing achievements of the Russian space programme and its cosmonauts",unknown,MUSEUMS ASSOC,2015
,14,"Books and documents aren't the easiest artefacts to display, so how do museums create the right conditions to engage their visitors?","Mulhearn, D.",MUSEUMS ASSOC,2011
,15,Deep impact: Geraldine Kendall hears from people whose lives have been transformed by museums,unknown,MUSEUMS ASSOC,2014
,16,"Ravenglass and Eskdale Railway Museum, Cumbria Sue Mackay steams through this venue, which makes history accessible to everyone",unknown,MUSEUMS ASSOC,2017
,17,Writ large Simon Stephens discovers why visitor comment books divide museum professionals,unknown,MUSEUMS ASSOC,2017
,18,"All the World Is Here: Harvard's Peabody Museum and the Invention of American Anthropology. Exhibit at the Peabody Museum of Archaeology and Ethnology. Cambridge, MA: Harvard University. April 22, 2017–present.","Jacknis, Ira",John Wiley & Sons Ltd,2019
,19,Hepworth costs put museums at risk,"Noakes, G.",MUSEUMS ASSOC,2010
,20,Campaign to reunite the Marbles continues as Acropolis museum is put back on agenda,"Thorpe, C.",MUSEUMS ASSOC,2004
,21,A year after the looting how are museums in Iraq surviving the peace?,"Thorpe, C.",MUSEUMS ASSOC,2004
,22,Raising sites Jonathan Drori says museums aren't good at new technology,"Morris, J.",MUSEUMS ASSOC,2004
,23,Snap happy Rebecca Atkinson asks if visitors should finally be allowed to take photographs in museums and galleries,unknown,MUSEUMS ASSOC,2012
,24,Ace relations How are museums in England faring under the arts council?,"Kendall, G.",MUSEUMS ASSOC,2012
,25,"Manchester Jewish Museum, Manchester","Henderson, Katie",MUSEUMS ASSOC,2021
,26,"Watercolour in Britain: Travelling with Colour, Norwich Castle Museum &amp; Art Gallery","Stephens, S.",MUSEUMS ASSOC,2010
,27,Stepping up to the crease Matt Barker talks to the new curator of the Lord's Museum,"Morris, J.",MUSEUMS ASSOC,2004
,28,"Chelmsford Museum, Essex: Ballbearings, bees and a new building: Chelmsford's looking good in its 175th year","Weeks, J.",MUSEUMS ASSOC,2010
,29,Analysis How military museums are tackling colonial legacies; catering for the needs of vulnerable groups,unknown,MUSEUMS ASSOC,2021
,30,Museums are being urged to adopt a less hostile attitude towards restitution,"Davies, M.",MUSEUMS ASSOC,2010
,31,The Matter of Museums,"Hein, H.",MUSEUM EDUCATION ROUNDTABLE,2011
,32,"The Anatomy of Melancholy, Bethlem Museum of the Mind, Beckenham, Kent",unknown,MUSEUMS ASSOC,2019
,33,"The Fire This Time: Race, Memory, and the Museum","Bunch, L. G.",AMERICAN ASSOCIATION OF MUSEUMS,2005
,34,"Museum of Making, Derby Silk Mill, Derby","Stephens, Simon",MUSEUMS ASSOC,2021
,35,"Africa Museum, Brussels",unknown,MUSEUMS ASSOC,2019
,36,"Bexhill Museum, Bexhill-on-Sea","Green, O.",MUSEUMS ASSOC,2010
,37,Schemes that allow museums to share skills make all the more sense in the current public spending squeeze,"Atkinson, R.",MUSEUMS ASSOC,2010
,38,The salary survey Are museum workers as badly off as everyone thinks?,"Morris, J.",MUSEUMS ASSOC,2004
,39,"Ashmolean Museum, Oxford","Johnson, N.",MUSEUMS ASSOC,2010
,40,"Vikings: Life and Legend, British Museum, London Neil Handley is unimpressed by the poor visitor experience and the lack of drama",unknown,MUSEUMS ASSOC,2014
,41,Museum Visits: Experiences of Special Education and Typically Developing Children,"Maxwell, L. E.; Killeen, J. P.",MUSEUM EDUCATION ROUNDTABLE,2002
,42,"International Simon Stephens on the redevelopment of the Queens Museum, New York",unknown,MUSEUMS ASSOC,2014
,43,"Medieval and Renaissance Galleries, Victoria and Albert Museum, London","Feeke, S.",MUSEUMS ASSOC,2010
,44,The documenters John Holt talks to the people who record collections about their crucial role in museums and galleries,unknown,MUSEUMS ASSOC,2014
,45,Delightful Sound and Distracting Noise: The Acoustic Environment of an Interactive Museum,"Fry, R.",MUSEUM EDUCATION ROUNDTABLE,2002
,46,Museums as Learning Settings: The Importance of the Physical Environment,"Maxwell, L. E.; Evans, G. W.",MUSEUM EDUCATION ROUNDTABLE,2002
,47,"Market Hall, Warwick Warwickshire: An ambitious and inventive revamp of this local museum pays dividends","Blyzinsky, M.",MUSEUMS ASSOC,2010
,48,"Hallaton Treasure Gallery, Harborough Museum, Leicestershire","Bryan, T.",MUSEUMS ASSOC,2010
,49,Museums Association poll reveals impact of proposed cuts,"Heywood, F.",MUSEUMS ASSOC,2010
,50,"History lessons As the Museums Association celebrates its 125th anniversary, Geraldine Kendall looks at its impact and the challenges it faces today",unknown,MUSEUMS ASSOC,2014
,51,Egypt Gallery: Bristol's City Museum focuses on the people of Egypt as well as the objects,"Weeks, J.",MUSEUMS ASSOC,2008
,52,New scientists: Seven experts discuss what role museums can play in science education and the opportunities to expand this work in the future,unknown,MUSEUMS ASSOC,2008
,53,Armouries chief is suspended: Investigation into ``potential irregularities'' at the Royal Armouries Museum in Leeds,"Steel, P.",MUSEUMS ASSOC,2008
,54,Search Engine: The National Railway Museum in York opens up its collection,"Burch, S.",MUSEUMS ASSOC,2008
,55,"Bridport Museum, Dorset","Mason,  Peter",MUSEUMS ASSOC,2017
,56,"""WHITE PEOPLE WILL BELIEVE ANYTHING!"" Worrying about Authenticity, Museum Audiences, and Working in Native American-Focused Museums","Zimmerman, L. J.",BLACKWELL,2010
,57,"Opening doors Eleanor Mills talks to Sonia Solicari, the director of the Geffrye Museum of the Home, about how sweet her new home really is",unknown,MUSEUMS ASSOC,2017
,58,"We can be heroes John Holt talks to the winners of the Museums Change Lives Awards, which celebrate those who have made a heroic impact in their communities",unknown,MUSEUMS ASSOC,2022
,59,"Dorset Museum, Dorchester Peter Mason enjoys a trip through 250 million years of West Country history in an impressively engaging revamp",unknown,MUSEUMS ASSOC,2022
,60,Never forget Museums are rising to the challenge of keeping the Holocaust survivors' stories alive to shine a light on this dark chapter,"Adams, Geraldine Kendall",MUSEUMS ASSOC,2022
,61,Attic Vase Paintings in the Museum of Fine Arts: Part I,unknown,"Museum of Fine Arts, Boston",1931
,62,Museum Education: A Nonformal Education Perspective,"Taylor, E.W.; Neill, A.C.",MUSEUM EDUCATION ROUNDTABLE,2008
,63,Civic centres Deborah Mulhearn explores how Victorian-built museums are being reinvigorated for the 21st century,unknown,MUSEUMS ASSOC,2017
,64,Eureka moments Rob Sharp examines what science museums are doing to boost audience engagement,unknown,MUSEUMS ASSOC,2017
,65,Why museums should take the concerns of British pagans seriously,unknown,MUSEUMS ASSOC,2006
,66,Money talks Are museums forgetting ethics in the rush for corporate cash? Patrick Steel investigates,unknown,MUSEUMS ASSOC,2006
,67,Remembering Rembrandt Simon Stephens finds out how Dutch museums are celebrating the artist's birthday,unknown,MUSEUMS ASSOC,2006
,68,Links between Museums and the Private Sector - the view from a private sector unit,"Strickland, T.",SMA,1990
,69,If You Build It: Revitalizing the Standard Art Museum Visit through Collaborative Design,"Adams, J. M.; Sibille, J.",MUSEUM EDUCATION ROUNDTABLE,2005
,70,"Walking with Janet Cardiff, Sitting with Massimo Guerrera, and Eating Apples with R. Murray Shafer Meaningful Museum Experiences with Participatory Art for Visitors with and without Visual Impairments","Sweeney, E.",MUSEUM EDUCATION ROUNDTABLE,2009
,71,"Second World War Galleries, Imperial War Museum, London These wide-ranging galleries feature superb displays that put people at the heart of the stories told","Green, Oliver",MUSEUMS ASSOC,2022
,72,"Museum of... Mary Shelley's House of Frankenstein, Bath","Mills, Eleanor",MUSEUMS ASSOC,2022
,73,Comment: from world museum leadership to world strengthening of museum leadership?,"Anfruns, J.",Taylor & Francis,2012
,74,In Search of the American Museum - Finding a Place: A Conversation with Rep. John Lewis,unknown,AMERICAN ASSOCIATION OF MUSEUMS,2006
,75,Measuring Museum Meaning: A Critical Assessment Framework,"Worts, D.",MUSEUM EDUCATION ROUNDTABLE,2006
,76,Exhibiting Tragedy: Museums and the Representation of September 11,"Van Orden, V.",MUSEUM EDUCATION ROUNDTABLE,2006
,77,"The Power of Storytelling: An Interview with Mari-Louise Olsson, the Executive Director of the Museum of Molndal","Ciasnocha, D.; Shermis, N.",MUSEUM EDUCATION ROUNDTABLE,2006
,78,Training for Museum Archaeologists: Future prospects,"Holgate, R.",SMA,1990
,79,Making Links with Museums and Archaeology in Hull and North Humberside,"Foxon, A.",SMA,1990
,80,"Universal museums, museum objects and repatriation: The tangled stories of things","Curtis, N. G.","Elsevier Science B.V., Amsterdam.",2006
,81,Manning the Barricades - Setting the standards for Museum Archaeology,"Southworth, E.",SMA,1990
,82,Are Museum Educators Still Necessary?,"Munley, M. E.; Roberts, R.",MUSEUM EDUCATION ROUNDTABLE,2006
,83,Renaissance or retrenchment? What the regions really think of the Regional Museum Task Force report,unknown,MUSEUMS ASSOC,2002
,84,Museums and Funders Embracing New Constituencies,"Brown, C. K.",MUSEUM EDUCATION ROUNDTABLE,2006
,85,What are you looking at? Museums and galleries need to change and impr$$ILL$$ the way that they represent disabled people,"Nightingale, J.",MUSEUMS ASSOC,2008
,86,World service Globalisation means museums must expand their horizons,"Muller, K.",MUSEUMS ASSOC,2004
,87,The road to London 2012: Museums invited to make bids for Cultural Olympiad,"Stephens, S.",MUSEUMS ASSOC,2008
,88,A museum for the twenty-first century: the influence of `sociality' on art reception in museum space,"Trondle, M.; Wintzerith, S.; Waspe, R.; Tschacher, W.",Taylor & Francis,2012
,89,United we stand Rickie Burman tells Smon Stephens about plans to combine London's two Jewish museums on one site and tackle prejudice in the process,unknown,MUSEUMS ASSOC,2008
,90,New fund will help to save treasure for local museums,"Batt, C.",MUSEUMS ASSOC,2004
,91,Immigrant Voices: A New Language for Museums,"Russell-Ciardi, M.",AMERICAN ASSOCIATION OF MUSEUMS,2006
,92,Gaming the Museum System,unknown,AMERICAN ASSOCIATION OF MUSEUMS,2006
,93,The other within:Museums of ethnography have traditionally focused on ``other'' cultures but some have begun to look closer to home,"Heal, S.",MUSEUMS ASSOC,2008
,94,Museum Ships and Harbours,"Bayly, S. P.",unknown,1984
,95,The board game. how to get the right trustees for your museum,"Pybus, J.",MUSEUMS ASSOC,2002
,96,money. How museums can benefit from licensing,unknown,MUSEUMS ASSOC,2002
,97,Oriental express: The cultural Olympiad has meant a museum building boom in China,"Rowe, M.",MUSEUMS ASSOC,2006
,98,"M Shed, Bristol Tim Bryan and Sara Selwood share contrasting views on Bristol's new city museum",unknown,MUSEUMS ASSOC,2011
,99,Martian Museum of Terrestrial Art: The Barbican takes a light-hearted look at how aliens would view our art,"Morris, J.",MUSEUMS ASSOC,2008
,100,Local authorities tighten the squeeze on museums to save money,unknown,MUSEUMS ASSOC,2006
,1,The British Museum epitomises the cultural diversity of the UK,"MacGregor, N.",MUSEUMS ASSOC,2006
,2,State of the nation: How poor storage conditions are leaving rare artefacts to rot in US museums and libraries,unknown,MUSEUMS ASSOC,2006
,3,Visitor figures on the up: Museums experience record attendance figures over past year,"Harris, G.",MUSEUMS ASSOC,2008
,4,Wireless world: Podcasts and mobile media: can museums get their message across,"Parry, R. L.",MUSEUMS ASSOC,2006
,5,Sea view: Shirley Collier on why she has left the comfort zone of a London national to become the new head of Scarborough Museums Trust,"Stephens, S.",MUSEUMS ASSOC,2008
,6,"Partnership deal merges Museums, Libraries and Archives Council with regional agencies",unknown,MUSEUMS ASSOC,2006
,7,"Riverside Museum, Glasgow Innovative display has transformed this Scottish transport collection","Green, O.",MUSEUMS ASSOC,2011
,8,Friendly fire on Merseyside: A row erupts between National Museums Liverpool and its Friends,"Steel, P.",MUSEUMS ASSOC,2008
,9,Package deals: Dea Birkett talks to the museums that are getting into bed with hotels to promote their exhibitions and reach new audiences,unknown,MUSEUMS ASSOC,2008
,10,History in pictures: Felicity Heywood on how the Imperial War Museum is marking the 60th anniversary of the arrival of the Empire Windrush in Britain,unknown,MUSEUMS ASSOC,2008
,11,Festival season: Gareth Harris reports on the growth in biennials and triennial and finds out what role museums and galleries are playing in their development,unknown,MUSEUMS ASSOC,2008
,12,"Museums at the crossroad: Contributing to dialogue, curiosity and wonder in natural history museums","Valdecasas, A. G.; Correia, V.; Correas, A. M.","Elsevier Science B.V., Amsterdam.",2006
,13,"Curators, Collections, and Contexts: Anthropology at the Field Museum, 1893-2002. Fieldiana, Publication 1525, Anthropology, New Series, No. 36. Stephen E. Nash and Gary M. Feinman, eds. Chicago: Field Museum of Natural History, 2003. 346 pp.","DeMallie, R. J.",BLACKWELL,2011
,14,Getting creative Museums and galleries are forging partnerships with the creative industries to reinterpret their collections and venues,"Kendall, G.",MUSEUMS ASSOC,2011
,15,Local authority museums face a bleak future of budget cuts and job losses,unknown,MUSEUMS ASSOC,2006
,16,Troubled waters: Creating a museum to tell the story of conflict in Northern Ireland raises many complex questions,"Crooke, E.",MUSEUMS ASSOC,2008
,17,visitors: Can museum visits compete with shopping?,unknown,MUSEUMS ASSOC,2002
,18,Scotland consults on national museum strategy Document follows more than two years of discussion and preparation,unknown,MUSEUMS ASSOC,2011
,19,Kingdom come How museums are playing a central role in Brunel's 200th anniversary celebrations,unknown,MUSEUMS ASSOC,2006
,20,The Forgotten Audience: The 2008 Brooking Paper on Creativity in Museums,"Glasser, S.",AMERICAN ASSOCIATION OF MUSEUMS,2008
,21,"Great expectations In the first of his two-part enquiry into the state of recession-weary museums, Maurice Davies finds evidence that the sector has some robust ideas for its future",unknown,MUSEUMS ASSOC,2011
,22,How the West Was One The story of a museum merger,"Semmel, M.",AMERICAN ASSOCIATION OF MUSEUMS,2002
,23,In a League of Its Own: The Negro Leagues Baseball Museum,"Earle, J.",AMERICAN ASSOCIATION OF MUSEUMS,2008
,24,"National Museum of Scotland, Edinburgh Revitalised, redesigned and remarkable. Peter Lewis and Neil Johnson-Symington agree",unknown,MUSEUMS ASSOC,2011
,25,"National Army Museum, London","Boxer,  Graham",MUSEUMS ASSOC,2017
,26,The rise of the NMDC How the National Museums Directors' Conference has grown in importance,unknown,MUSEUMS ASSOC,2002
,27,Casualties of War: The Looting of the Iraq Museum,"Bogdanos, M.",AMERICAN ASSOCIATION OF MUSEUMS,2006
,28,The Jewish experience in Germany Axel Lapp visits Berlin's new Jewish Museum,unknown,MUSEUMS ASSOC,2002
,29,Possession order Tom Flynn looks at how museums are dealing with the problems of provenance,unknown,MUSEUMS ASSOC,2006
,30,A review of Latin American perspectives on museums and museum learning,"Briseno-Garzon, A.; Anderson, D.",Taylor & Francis,2012
,31,Lost treasures: Iraq's museums and cultural heritage have been hit hard by a war that has just reached its grim fifth anniversary,"Steel, P.",MUSEUMS ASSOC,2008
,32,The Rise of Oral History In Museum Exhibitions,"Chew, R.",AMERICAN ASSOCIATION OF MUSEUMS,2002
,33,London's Theatre Museum could close in V&amp;A review,unknown,MUSEUMS ASSOC,2006
,34,How museums can benefit from Sure Start funding,unknown,MUSEUMS ASSOC,2002
,35,Why museums need to sit up and take notice of the creationism debate in the US,unknown,MUSEUMS ASSOC,2006
,36,Taking a stand Richard Sandell on why museums must do more to fight prejudice,unknown,MUSEUMS ASSOC,2006
,37,Leading question Mark Suggitt makes a case for the leadership qualities of museum staff,unknown,MUSEUMS ASSOC,2002
,38,Designs on life Caroline Parry finds that museums are using day-to-day design objects to tell stories about people's changing tastes,unknown,MUSEUMS ASSOC,2015
,39,William's Suitcase and Beatrix's Clogs: Two Lakes District House Museums,"Taber, S. M.",MUSEUM EDUCATION ROUNDTABLE,2001
,40,Working class heroes: Why museums and galleries should be telling working-class stories,"Allen, V.",MUSEUMS ASSOC,2008
,41,"North Hertfordshire Museum, Hitchin",unknown,MUSEUMS ASSOC,2019
,42,Quilt Museum and Gallery: The Quilters' Guild of the British Isles unveils its new home in York,"Worthington, C.",MUSEUMS ASSOC,2008
,43,Fred Wilson: Learning to Speak Museum,"Lusaka, J.; Strand, J.",AMERICAN ASSOCIATION OF MUSEUMS,2006
,44,Decolonising museums,unknown,MUSEUMS ASSOC,2019
,45,Fired up Nicola Sullivan discovers how museums and galleries are breathing new life into their ceramics collections,unknown,MUSEUMS ASSOC,2015
,46,Sound in museums - museums in sound,"Bubaris, N.",Taylor & Francis,2014
,47,Hadrian: Empire and Conflict: A revealing portrait of the Roman emperor at the British Museum,"Lewis, P.",MUSEUMS ASSOC,2008
,48,"Wrexham County Borough Museum &amp; Archives From the Bronze Age to now, Wrexham delivers a neat line in heritage","Podmore, L.",MUSEUMS ASSOC,2011
,49,"Living Worlds, the Manchester Museum An artful redisplay of a natural history collection","Green, O.",MUSEUMS ASSOC,2011
,50,"The Garden Museum, London Caroline Ikin discovers hallowed ground for the green-fingered in this redeveloped venue",unknown,MUSEUMS ASSOC,2017
,51,Measuring the impact of museum activities on well-being: developing the Museum Well-being Measures Toolkit,"Thomson, L.J.; Chatterjee, H.J.",Taylor & Francis,2015
